리뷰번호,평점,리뷰내용,구매옵션,작성일
1,5,"정말 만족스러운 제품이에요. 배송도 빠르고 품질도 좋아서 재구매 의사 있어요. 특히 디자인이 예쁘고 실용적이라 추천합니다.","기본형",2024-01-15
2,4,"가격 대비 만족합니다. 다만 색상이 사진과 조금 달라서 아쉬웠어요. 그래도 전반적으로 좋은 제품이라고 생각해요.","프리미엄",2024-01-16
3,5,"완전 대박이에요! 친구들한테도 추천했어요. 사용법도 간단하고 효과도 좋아서 매우 만족합니다.","기본형",2024-01-17
4,3,"보통이에요. 기대했던 것보다는 아쉬운 부분이 있지만 나쁘지는 않아요. 좀 더 개선되면 좋겠어요.","스탠다드",2024-01-18
5,5,"리뷰 보고 구매했는데 정말 좋아요! 배송 포장도 깔끔하고 제품 품질도 우수해서 매우 만족해요.","프리미엄",2024-01-19
6,4,"좋은 제품이지만 가격이 조금 비싸다는 생각이 들어요. 할인할 때 구매하시면 더 좋을 것 같아요.","기본형",2024-01-20
7,5,"완벽한 제품입니다. 사용하기 편하고 효과도 빨리 나타나서 정말 만족해요. 다음에도 구매할 예정이에요.","프리미엄",2024-01-21
8,2,"기대보다 별로였어요. 사진과 실물이 너무 달라서 실망했습니다. 교환이나 환불이 가능한지 문의드리고 싶어요.","기본형",2024-01-22
9,4,"전반적으로 좋은 제품이에요. 다만 배송이 조금 늦어서 아쉬웠지만 제품 자체는 만족스러워요.","스탠다드",2024-01-23
10,5,"너무 좋아서 가족들 것도 추가 주문했어요. 품질 좋고 디자인도 예쁘고 실용성도 뛰어난 제품입니다.","프리미엄",2024-01-24